comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std,probe_position
refusal_prefix-plain,13,32,32,7.199106693267822,8.48420524597168,0.34021252393722534,7.1479644775390625,0.494355171918869,0.8441835641860962,0.07039167732000351,assistant_header_token
refusal_prefix-plain,14,32,32,8.591526985168457,9.779195785522461,0.37317538261413574,8.473733901977539,0.4726761281490326,0.8681889772415161,0.06325016915798187,assistant_header_token
refusal_prefix-plain,15,32,32,10.07754135131836,11.219282150268555,0.38007858395576477,9.8499174118042,0.5154995322227478,0.8793811798095703,0.06001174449920654,assistant_header_token
refusal_prefix-plain,16,32,32,12.162571907043457,13.279762268066406,0.40747153759002686,11.837118148803711,0.5011287331581116,0.8922144174575806,0.0465906523168087,assistant_header_token
refusal_prefix-plain,17,32,32,14.173321723937988,15.341339111328125,0.4156702160835266,13.773181915283203,0.5991215109825134,0.898229718208313,0.041524577885866165,assistant_header_token
refusal_prefix-plain,18,32,32,15.94544506072998,17.21007537841797,0.47304272651672363,15.550739288330078,0.5575199127197266,0.904156506061554,0.038246192038059235,assistant_header_token
refusal_prefix-plain,19,32,32,17.736351013183594,19.351579666137695,0.671629786491394,17.427669525146484,0.7653701901435852,0.9011321663856506,0.03999818488955498,assistant_header_token
refusal_prefix-plain,20,32,32,20.483657836914062,22.294530868530273,0.7218801379203796,20.075115203857422,0.8009853959083557,0.9009820222854614,0.037549179047346115,assistant_header_token
refusal_prefix-plain,21,32,32,23.05950164794922,25.070568084716797,0.905439555644989,22.574012756347656,1.0578736066818237,0.9007925987243652,0.03745470941066742,assistant_header_token
refusal_prefix-plain,22,32,32,25.566987991333008,27.734783172607422,1.0327051877975464,24.984180450439453,1.2392441034317017,0.9011718034744263,0.03873223811388016,assistant_header_token
refusal_prefix-plain,23,32,32,28.859603881835938,31.321361541748047,1.1168360710144043,28.36737823486328,1.2244995832443237,0.9061453342437744,0.03618178144097328,assistant_header_token
refusal_prefix-plain,24,32,32,33.02006530761719,35.84265899658203,1.2334486246109009,32.711402893066406,1.4529685974121094,0.912929356098175,0.034539613872766495,assistant_header_token
refusal_prefix-plain,25,32,32,36.75429153442383,39.61634826660156,1.234723687171936,36.20916748046875,1.5766000747680664,0.9142106771469116,0.033985771238803864,assistant_header_token
refusal_prefix-plain,26,32,32,41.89768600463867,45.543704986572266,1.3679287433624268,41.552146911621094,1.904044508934021,0.9124765992164612,0.03486543893814087,assistant_header_token
refusal_prefix-plain,27,32,32,48.505828857421875,52.95629119873047,1.7383393049240112,48.46673583984375,2.472673177719116,0.9151155948638916,0.033494506031274796,assistant_header_token
refusal_prefix-plain,28,32,32,97.71798706054688,104.160400390625,3.4614334106445312,97.05052947998047,5.281461715698242,0.9312973022460938,0.030102204531431198,assistant_header_token
harmful_prefix-plain,0,32,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,assistant_header_token
harmful_prefix-plain,1,32,32,3.21081024594605e-05,0.00014886961434967816,0.0002294876758242026,1.5354455626948038e-06,8.257149602286518e-06,0.003948049619793892,0.020425522699952126,assistant_header_token
harmful_prefix-plain,2,32,32,0.00012295375927351415,0.0008065588190220296,0.000703480327501893,3.299427771707997e-05,5.204615445109084e-05,0.02286706119775772,0.032648783177137375,assistant_header_token
harmful_prefix-plain,3,32,32,0.0002259536413475871,0.0016149854054674506,0.0012969201197847724,2.753924491116777e-05,0.00011035432544304058,0.009387822821736336,0.042863879352808,assistant_header_token
